names	level	sas.name	class	qc.tests	restrictions	units	description	MMRF.Source	DFCI_Source	DFCI2009_Source	UAMS_Source	sage.export
Patient	biallelicinactivation; blood; clinical; cnv; metadata; rnaseq; snv; translocations	Patient	character	column_exists; all_required	NA	NA	Normalized patient identification number. 	PER_PATIENT::PUBLIC_ID	Example: PD0000	example: DFCI_000_000AA	example: UAMS_0000	1
File_Name	biallelicinactivation; blood; cnv; metadata; rnaseq; snv; translocations	NA	character	column_exists; all_required	NA	NA	trimmed filename for uniquely matching study files	NA	NA	NA	NA	1
Study	metadata	Study	factor	column_exists; all_required	DFCI; DFCI.2009; LOHR; MMRF; UAMS	NA	Study cohort this patient belongs to	MMRF	DFCI	DFCI.2009	UAMS	1
Study_Phase	metadata	Study_Phase	character	column_exists	NA	NA	Study phase. So far this is only applicable to MMRF (eg. IA8, IA9)	Parsed from IA package structure	NA	NA	NA	1
Visit_Name	metadata	Visit_Name	character	column_exists	NA	NA	Text description of the visit type e.g. Baseline, Confirm Progression, etc.	Seq_QC_Summary.xlsx::Visits::Reason_For_Collection	NA	NA	NA	1
Sample_Name	metadata	Sample_Name	character	column_exists	NA	NA	Sample identifier. NOTE: this has been adjusted for MMRF from previous versions (e.g. was MMRF_0000_1). BM/PB was added to clarify ambiguous samples taken at the same visit point.	NA	NA	NA	NA	1
Sample_Type_Flag	metadata	Sample_Type_Flag	numeric	column_exists; all_required	0=Normal; 1=NotNormal	NA	Flag for Normal vs NotNormal sample type	NA	NA	NA	NA	1
Sample_Type	metadata	Sample_Type	character	column_exists; all_required	Normal; NotNormal	NA	Text descriptor for sample type	NA	NA	NA	NA	1
File_Name_Actual	metadata	NA	character	column_exists	NA	NA	Actual filename of sequencing file.	NA	NA	NA	NA	1
File_Path	metadata	NA	character	column_exists	NA	NA	s3 file path for file	NA	NA	NA	NA	0
Sequencing_Type	metadata	Sequencing_Type	character	column_exists; all_required	WES; WGS; RNA-Seq; Targeted	NA	What molecular technique was performed to generate this file.	MMRF_CoMMpass_IA9_Seq_QC_Summary.xlsx::MMRF_Release_Status	NA	NA	NA	1
Excluded_Flag	metadata	NA	numeric	column_exists	0=NotExcluded; 1=Excluded	NA	Flag from QC describing if this file should be excluded from further analysis.	MMRF_CoMMpass_IA9_Seq_QC_Summary.xlsx::MMRF_Release_Status	NA	NA	NA	0
Excluded_Specify	metadata	NA	character	column_exists	NA	NA	String description with details of why file was flagged for exclusion	MMRF_CoMMpass_IA9_Seq_QC_Summary.xlsx::MMRF_Release_Status	samples flagged in DFCI_WES_Cyto.xlsx	NA	NA	0
Disease_Status	metadata	Disease_Status	factor	column_exists; all_required	ND=NewDiagnosis; R=Relapse	NA	Simplified disease presentation status at sample collection, New diagnosis or Relapse	NA	NA	NA	NA	1
Tissue_Type	metadata	Tissue_Type	character	column_exists; all_required	PB; BM	NA	Source tissue derivation. PB=PeripheralBlood; BM=BoneMarrow	NA	NA	NA	NA	1
Cell_Type	metadata	Cell_Type	character	column_exists; all_required	CD138pos; PBMC	NA	Sample generated from selected cell type. PBMC=Peripheral Blood Mononuclear Cells; CD138pos=CD138 surface marker positive cells	NA	NA	NA	NA	1
NMF_Signature_Cluster	metadata	NA	factor	column_exists	A; B	NA	Non-negative matrix factorization (NMF) mutation signature group	NA	NA	NA	NA	0
Disease_Type	metadata	NA	character	column_exists; all_required	MM=”Multiple Myeloma”; PCL=”Plasma Cell Leukemia”	NA	What disease has this patient been diagnosed with. All samples from a patient are considered PCL if any CD138 selected PBMC samples were collected.	NA	NA	NA	NA	1
D_Gender	clinical	D_Gender	factor	column_exists	Male; Female	NA	Gender string	"recode(PER_PATIENT::D_PT_gender, ""Male"", ""Female"")"	NA	recode(Sex, 1=Male, 2=Female)	Gender column. M=Male; F=Female	1
D_Race	clinical	D_Race	factor	column_exists	ASIAN; AMERICANINDIAN; BLACKORAFRICAN; PACIFICISLANDER; WHITE; OTHER	NA	Race	"recode(PER_PATIENT::D_PT_race, ""WHITE"", ""BLACKORAFRICAN"", ""AMERICANINDIAN"", ""ASIAN"", ""NATIVEHAWAIIAN"", ""OTHER"")"	NA	NA	NA	1
D_Age	clinical	D_Age	numeric	column_exists; all_positive	NA	years	Age at diagnosis	PER_PATIENT.D_PT_age	NA	Age.at.diagnosis	Age column	1
D_Medical_History	clinical	D_Medical_History	character	column_exists	NA	NA	Specify. This field is not restricted to a curated set of responses, however specific values are flagged for an additional column in this table based on <MEDHX_conditions.of.interest.txt>	STAND_ALONE_MEDHX.medx	NA	NA	NA	1
D_Family_Cancer_History	clinical	D_Family_Cancer_History	character	column_exists	Yes; No	NA	Is there a family history of cancer?	STAND_ALONE_FAMHX.FAMHX_ISTHEREAFAMIL	NA	NA	NA	1
D_PrevBoneMarrowTransplant	metadata	D_PrevBoneMarrowTransplant	numeric	column_exists	0=no; 1=yes	NA	Has a bone marrow transplant been performed before the study day that this sample was collected?	PER-PATIENT-VISIT::VISITDY >= min(PER-PATIENT-VISIT::BMT_DAYOFTRANSPL for same PUBLIC_ID)	NA	NA	NA	1
Sample_Study_Day	metadata	Sample_Study_Day	numeric	column_exists; all_numeric	NA	NA	day of study that the sample was taken	NA	NA	NA	NA	1
TRT_1_trtgroup	clinical	TRT_1_trtgroup	numeric	column_exists	NA	NA	number of treatment groups administered during first line therapy	STAND_ALONE_TRTRESP::trtgroup	NA	NA	NA	0
TRT_1_therstdy	clinical	TRT_1_therstdy	numeric	column_exists; all_positive	NA	days	Study day of first line therapy start	STAND_ALONE_TRTRESP::trtstdy	NA	NA	NA	0
TRT_1_therendy	clinical	TRT_1_therendy	numeric	column_exists; all_positive	NA	days	Study day of first line therapy end	STAND_ALONE_TRTRESP::trtendy	NA	NA	NA	0
TRT_1_thername	clinical	TRT_1_thername	character	column_exists	NA	NA	Systematic therapy name. Individual drugs treatments within a treatment groups are combined by dash symbol. Sequentially administered treatment groups from first line therapy are joined in order of administration by semicolon. 	STAND_ALONE_TRTRESP::thername	NA	NA	NA	0
TRT_1_thershnm	clinical	TRT_1_thershnm	character	column_exists	NA	NA	Same as TRT_1_thername olumn with abbreviated drug names. For abbreviation mapping see s3://celgene.rnd.combio.mmgp.external/ClinicalData/ProcessedData/Resources/drug_name_abbreviation_table.txt	STAND_ALONE_TRTRESP::thershnm	NA	NA	NA	0
TRT_1_therclass	clinical	TRT_1_therclass	character	column_exists	NA	NA	Therapy class description	STAND_ALONE_TRTRESP::therclass	NA	NA	NA	0
TRT_1_bmtx_rec	clinical	TRT_1_bmtx_rec	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive a bone marrow transplant during first line treatment.	STAND_ALONE_TRTRESP::bmtx_rec	NA	NA	NA	0
TRT_1_bmtx_type	clinical	TRT_1_bmtx_type	character	column_exists	NA	NA	Description of bone marrow transplant type received during first line therapy. If multiple bmt were performed during first line therapy additional types are appended with semicolon	Simplify(STAND_ALONE_TRTRESP::bmtx_type)	NA	NA	NA	0
TRT_1_bmtx_n	clinical	TRT_1_bmtx_n	numeric	column_exists; all_positive	NA	NA	Number of bone marrow transplant the patient received during first line therapy.	max(STAND_ALONE_TRTRESP::bmtx_seq, na.rm = T)	NA	NA	NA	0
TRT_1_bmtx_day	clinical	TRT_1_bmtx_day	numeric	column_exists; all_positive	NA	NA	Study day of the  first bone marrow transplant received during first line therapy	min(STAND_ALONE_TRTRESP::bmtx_day, na.rm = T)	NA	NA	NA	0
TRT_1_bend	clinical	TRT_1_bend	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive treatment with bendamustine as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY	NA	NA	NA	0
TRT_1_bor	clinical	TRT_1_bor	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive treatment with bortezomib as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY	NA	NA	NA	0
TRT_1_car	clinical	TRT_1_car	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive treatment with carfilzomib as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY	NA	NA	NA	0
TRT_1_cyc	clinical	TRT_1_cyc	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive treatment with cyclophosphamide as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY	NA	NA	NA	0
TRT_1_dar	clinical	TRT_1_dar	numeric	column_exists	0=no; 1=yes	NA	Did the patient receive treatment with daratumumab as part of first line therapy. 	STAND_ALONE_TREATMENT_REGIMEN::MMTX_THERAPY	NA	NA	NA	0
