names	category	type	factor_levels	key_val	units	description	mmrf_table	mmrf_column	dfci_column	uams_column	lohr_column
Patient	id	Character				Normalized patient identification number. 	PER_PATIENT	PUBLIC_ID	"format ""PD0000"""	"format ""UAMS_0000"""	"format ""MMRC_0000"""
Study	id	Factor	DFCI; LOHR; MMRF; UAMS			Study cohort this patient belongs to	NA	"""MMRF"""	"""DFCI"""	"""UAMS"""	"""LOHR"""
D_Gender	demographic	Factor	Male; Female			Gender string	PER_PATIENT	DEMOG_GENDER	NA	Gender column. M=Male; F=Female	M=Male; F=Female
D_Race	demographic	Factor	ASIAN; AMERICANINDIAN; BLACKORAFRICAN; PACIFICISLANDER; WHITE; OTHER			Race	PER_PATIENT	D_PT_race	NA	NA	"Race. ""Caucasian""=""WHITE""; ""African American""=""BLACKORAFRICAN""; ""Asian""=""ASIAN""; ""Hispanic""=""OTHER"""
D_Age	demographic	Numeric			years	Age	PER_PATIENT	D_PT_age	NA	Age column	Race
D_Medical_History	demographic	Character				"Specify. This field is not restricted to a curated set of responses, however specific values are flagged for an additional column in this table based on <MEDHX_conditions.of.interest.txt>"	STAND_ALONE_MEDHX	medx	NA	NA	NA
D_Family_Cancer_History	demographic	Factor	Yes; No			Is there a family history of cancer?	STAND_ALONE_FAMHX	FAMHX_ISTHEREAFAMIL	NA	NA	NA
D_ISS	demographic	Factor	1; 2; 3			ISS Disease Stage	PER_PATIENT	D_PT_iss	NA	"ISS column. `Stage I` = 1, `Stage II` = 2, `Stage III` = 3"	NA
D_OS	demographic	Numeric			days	Overall Survival time: time to death for those who died; time to last contact for those who are still alive.	STAND_ALONE_SURVIVAL	"ttos OR max(D_PT_lvisitdy,D_PT_lstalive) - D_PT_ic_day"	NA	OS_months*30.42	NA
D_OS_FLAG	demographic	Numeric		0=no; 1=yes		Is the patient deceased? 	STAND_ALONE_SURVIVAL	deathdy > 0	NA	OS_status	NA
D_PFS	demographic	Numeric			days	Time to PFS (progression-free survival)	STAND_ALONE_SURVIVAL	"ttpfs OR max(D_PT_lvisitdy,D_PT_lstalive) - D_PT_ic_day"	NA	PFS_months*30.42	NA
D_PFS_FLAG	demographic	Numeric		0=no; 1=yes		Has the patient developed progressive disease by trial completion?	STAND_ALONE_SURVIVAL	ttfpd > 0	NA	PFS_status	NA
D_Cause_of_Death	demographic	Character				Cause of death	PER_PATIENT	D_PT_CAUSEOFDEATH	NA	NA	NA
D_Reason_for_Discontinuation	demographic	Character				Primary Reason for Discontinuation	PER_PATIENT	D_PT_PRIMARYREASON	NA	NA	NA
D_Discontinued	demographic	Numeric		0=no; 1=yes		Study discontinuation flag	PER_PATIENT	D_PT_discont	NA	NA	NA
D_Complete	demographic	Numeric		2=no		Study complete flag	PER_PATIENT	D_PT_complete	NA	NA	NA
D_Best_Response_Code	demographic	Numeric		"1=""Complete Response""; 2=""Stringent Complete Response""; 3=""Very Good Partial Response""; 4=""Partial Response""; 5=""Stable Disease""; 6=""Progressive Disease"""		Best observed therapy response (code)	STAND_ALONE_TRTRESP	bestrespcd	NA	NA	NA
D_Best_Response	demographic	Character				Best observed therapy response	STAND_ALONE_TRTRESP	bestresp	NA	NA	NA
CBC_Absolute_Neutrophil	blood	Numeric			count x10^9/L	Absolute Neutrophil count	PER_PATIENT_VISIT	D_LAB_cbc_abs_neut	NA	NA	NA
CBC_Platelet	blood	Numeric			count x10^9/L	Platelet count	PER_PATIENT_VISIT	D_LAB_cbc_platelet	NA	NA	Platelets..10.9.L.
CBC_WBC	blood	Numeric			count x10^9/L	White Blood Count	PER_PATIENT_VISIT	D_LAB_cbc_wbc	NA	NA	NA
DIAG_Hemoglobin	blood	Numeric			mmol/L	Hemogobin	PER_PATIENT_VISIT	D_LAB_cbc_hemoglobin	NA	NA	Hemoglobin (g/dL) *0.62
DIAG_Albumin	blood	Numeric			g/L	Albumin	PER_PATIENT_VISIT	D_LAB_chem_albumin	NA	Serum.albumin	Serum.albumin..g.dL.
