[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Getting sample information for file /gpfs/archive/RED/Analysis/TD-Exploratory/DA0000033/NGS/ProcessedNewBAMFiles/S1400891CGC_SendOut-III/BamFileWithDuplicates/GATK-VariantRecalibration/gvcf.list.BMMC.txt.combined.snp.vcf
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2601 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2602 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2603 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2604 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2605 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2606 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2607 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2608 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2609 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2610 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:55] - Found sample 2611 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2612 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2613 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2614 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2615 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2616 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2617 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2618 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2619 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2620 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:56] - Found sample 2621 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:57] - Found sample 2622 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:57] - Found sample 2623 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:57] - Found sample 2624 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:57] - Found sample 2625 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:57] - Found sample 2626 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2627 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2628 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2629 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2630 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2631 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2632 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2633 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2634 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2635 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2636 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2637 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2638 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2639 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:58] - Found sample 2640 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2643 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2644 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2645 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2647 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2648 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2651 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2655 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2659 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2660 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2661 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2662 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2665 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2666 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:55:59] - Found sample 2667 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2668 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2669 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2673 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2675 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2676 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2677 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2679 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:00] - Found sample 2681 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:01] - Found sample 2682 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:01] - Found sample 2684 corresponding to file
[DEBUG : ngs-sampleInfo - 2014/10/24 11:56:01] - Found sample 2693 corresponding to file
